thread,ops,ds,test
1,126698,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,500659,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,981633,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,1421922,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1777742,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,2098811,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,2337426,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,2775785,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,2982176,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,3184898,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,3519206,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,4454378,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,4982589,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,5365766,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,5072147,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,127221,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,500858,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,989367,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,1422716,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1783637,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,2102142,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,2341585,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,2776596,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,2978335,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,3155013,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,3484223,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,4454743,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,4982376,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,5395830,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,5062924,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,126660,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,502151,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,988312,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,1429643,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1771480,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,2098444,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,2330001,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,2775801,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,2976028,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,3173289,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,3517600,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,4462690,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,4980527,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,5387746,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,5087991,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,59796,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,115737,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,131333,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,129759,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,121130,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,116523,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,140620,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,139250,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,156826,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,155343,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,104996,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,97444,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,112212,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,126915,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,60771,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,112222,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,127738,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,129814,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,119942,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,121967,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,130079,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,157684,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,161403,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,159832,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,99064,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,115859,NoPersistTDSLSkipList<uint64_t>,TxnMapChurnTest<uint64_t:TDSL>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,46134,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,169883,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,325175,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,458655,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,582666,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,727839,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,820846,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,1036207,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,1125632,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1189167,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,1309301,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,1504703,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,1562860,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,1584242,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,45881,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,169325,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,325773,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,460660,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,579302,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,729653,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,832268,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,1028580,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,1112232,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1186457,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,1315310,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,1462986,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,1513813,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,1583097,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,46130,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,169086,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,324331,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,455644,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,584142,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,724539,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,832445,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,1031952,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,1120630,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1190037,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,1309126,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,1497467,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,1566825,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,1559500,LFTTSkipList<uint64_t>,TxnMapChurnTest<uint64_t:LFTT>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,88299,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,322893,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,628627,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,902686,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1125613,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,1316958,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,1462453,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,1723523,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,1842311,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1949169,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,2039665,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,2162985,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,2317024,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,2315437,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,2321941,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,88114,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,322738,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,629550,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,896298,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1122152,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,1326181,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,1466143,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,1725156,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,1845232,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,1879687,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,1962842,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,2237763,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,2292655,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,2305058,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,2281116,NoPersistMedleyFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
